Age,Monthly_Income,Num_Dependents,Loan_Tenure,Interest_Rate,Outstanding_Loan_Amount,Collection_Attempts,EMI_to_Income_Ratio,Collateral_Coverage,Default_Severity,Borrower_Segment,Segment_Name,High_Risk_Flag,Predicted_High_Risk,Predicted_Risk_Score,Recovery_Strategy
22,134735,2,36,17.31,692636.491225908,1,0.14279808513007014,1.0036886093282418,0,3,"Secured, Moderate Risk Borrowers",0,,,
35,76212,1,60,6.78,525143.542471291,8,0.11484267569411641,0.8077028133898434,288,3,"Secured, Moderate Risk Borrowers",0,,,
21,60379,0,36,13.05,264662.173934448,3,0.12175971778267278,1.0037083870840715,135,3,"Secured, Moderate Risk Borrowers",0,,,
52,223786,2,48,11.91,80545.997021894,2,0.007498413663053095,1.4774962582088926,14,3,"Secured, Moderate Risk Borrowers",0,,,
42,31456,3,36,12.83,950860.370100742,9,0.8396741480162767,0.0,282,0,"Low Income, High EMI Burden Borrowers",1,,,
48,171995,2,60,10.47,441059.808097121,3,0.04273961452367801,1.4540422650780886,274,3,"Secured, Moderate Risk Borrowers",0,,,
56,244027,0,60,8.68,1152937.23333495,8,0.07874382752728182,0.5561620099033144,7,1,"Affluent, Low Risk Borrowers",0,,,
23,122803,2,36,8.62,395791.539078516,3,0.08952721024730666,1.3691748574030873,328,3,"Secured, Moderate Risk Borrowers",0,,,
45,152348,1,12,9.42,1155408.57314984,2,0.6320007482868171,0.5631299092079662,288,0,"Low Income, High EMI Burden Borrowers",1,,,
47,114304,0,72,8.11,309283.217879672,0,0.037580487122060476,1.451396861979106,0,3,"Secured, Moderate Risk Borrowers",0,,,
50,125169,0,36,5.67,746005.802915789,3,0.16555520935694942,1.28250014438029,261,3,"Secured, Moderate Risk Borrowers",0,,,
50,51378,0,60,5.24,57630.5865766272,1,0.018694966717271985,0.6114876878387816,540,2,"High Income, High Default Risk Borrowers",1,,,
60,55390,0,72,15.28,303243.056845574,5,0.07603737136667268,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
53,88770,0,60,14.99,220312.112266242,0,0.04136386166497691,0.6390022051990781,165,1,"Affluent, Low Risk Borrowers",0,,,
31,54062,1,72,6.38,444004.589487209,1,0.11406773704265472,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
64,164381,3,36,10.83,1003220.89679716,1,0.16952841265109714,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
38,51914,3,72,6.72,729559.342377464,2,0.19518376545825789,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
49,248782,0,72,17.85,52790.3842862804,1,0.0029471585564872058,0.5625069415104114,342,1,"Affluent, Low Risk Borrowers",0,,,
52,126335,0,36,11.4,789211.478743011,1,0.17352705109431274,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
29,66924,0,48,17.22,881515.328728099,9,0.27441426095272253,0.0,118,1,"Affluent, Low Risk Borrowers",0,,,
38,30563,1,48,12.03,850926.611382455,6,0.5800359912312273,0.0,236,0,"Low Income, High EMI Burden Borrowers",1,,,
54,158401,2,24,11.19,1565339.02439741,9,0.411755355079829,0.7191260646707988,27,0,"Low Income, High EMI Burden Borrowers",1,,,
21,63604,3,72,13.75,330550.019413816,5,0.07218052323753224,1.2288698044883373,54,3,"Secured, Moderate Risk Borrowers",0,,,
46,21471,3,60,9.94,375704.148265097,1,0.29163709189138837,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
38,152513,3,60,14.51,468696.228220442,1,0.05121924032705409,0.0,98,1,"Affluent, Low Risk Borrowers",0,,,
22,188724,3,24,11.46,428509.038513594,3,0.0946066213094254,1.2009353650179992,0,3,"Secured, Moderate Risk Borrowers",0,,,
43,204648,3,60,12.72,133342.794565845,8,0.010859524647199094,0.0,29,1,"Affluent, Low Risk Borrowers",0,,,
28,76272,1,48,16.13,39189.89200788191,0,0.010704583595552758,0.0,69,1,"Affluent, Low Risk Borrowers",0,,,
32,159539,0,48,15.09,442088.685663926,3,0.05772995944565279,0.9472010322164369,232,3,"Secured, Moderate Risk Borrowers",0,,,
57,33752,1,12,8.3,441147.748578913,2,1.0891890850912538,0.0,0,0,"Low Income, High EMI Burden Borrowers",1,,,
53,143335,3,48,12.29,319734.981097357,3,0.04647259915582377,0.0,444,1,"Affluent, Low Risk Borrowers",0,,,
23,173059,1,12,8.57,1108570.9088099,2,0.5338116480506648,0.0,69,0,"Low Income, High EMI Burden Borrowers",1,,,
46,245008,0,48,7.16,918622.568843556,1,0.07811161268203488,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
58,47779,1,60,10.18,57594.4822747185,0,0.020090625588647732,0.0,61,1,"Affluent, Low Risk Borrowers",0,,,
33,171498,1,72,11.66,1247525.5701565,10,0.10103173214847988,0.0,68,1,"Affluent, Low Risk Borrowers",0,,,
55,47556,2,36,14.1,99251.5916979537,2,0.05797354697619648,0.0,79,1,"Affluent, Low Risk Borrowers",0,,,
41,57668,3,24,11.96,603346.431698762,1,0.435933793438302,0.0,6,0,"Low Income, High EMI Burden Borrowers",1,,,
25,96889,2,60,16.62,230598.415515593,1,0.039667144877127435,0.5427396060619509,750,2,"High Income, High Default Risk Borrowers",1,,,
62,106155,2,72,6.49,129620.219945224,1,0.016958975083604163,1.0707614809590742,0,3,"Secured, Moderate Risk Borrowers",0,,,
22,94671,1,48,8.12,536036.782490806,1,0.1179604102629105,1.173546578131391,97,3,"Secured, Moderate Risk Borrowers",0,,,
36,123856,0,60,9.51,177563.507751087,1,0.02389379602118589,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
44,246513,0,72,9.36,1023876.74457077,1,0.05768665344221197,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
44,214648,2,72,6.63,659843.283142931,0,0.04269543624911483,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
52,40537,1,24,17.59,326675.767802411,6,0.3357794114019291,0.0,152,1,"Affluent, Low Risk Borrowers",0,,,
53,208783,1,48,12.99,266265.489444404,0,0.02656921301063784,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
64,188312,3,36,16.87,1059348.93942704,1,0.15626385997705936,0.9158613394079466,151,3,"Secured, Moderate Risk Borrowers",0,,,
25,40592,2,48,13.23,417144.960958824,2,0.21409440283799763,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
46,179246,1,36,12.27,569849.938633716,1,0.08830969728752663,0.6155583766806328,177,3,"Secured, Moderate Risk Borrowers",0,,,
29,200763,3,48,15.36,309534.9994821,0,0.03212070949328312,0.9112040672118544,59,3,"Secured, Moderate Risk Borrowers",0,,,
53,115102,0,72,9.73,773867.784267326,1,0.09337943736859482,0.9777421263995362,0,1,"Affluent, Low Risk Borrowers",0,,,
40,44165,1,60,9.05,15712.8343606788,3,0.005929582248386731,0.5182750697235058,119,1,"Affluent, Low Risk Borrowers",0,,,
42,43982,2,36,15.47,420551.231490691,1,0.26560820335591834,0.7012637881344721,0,3,"Secured, Moderate Risk Borrowers",0,,,
52,34508,0,12,5.99,426709.656906678,1,1.0304607627216877,0.8207245244599579,51,0,"Low Income, High EMI Burden Borrowers",1,,,
24,15281,1,60,17.24,102084.546529454,7,0.11134153523984033,0.9787048579655241,4,3,"Secured, Moderate Risk Borrowers",0,,,
46,177962,2,60,13.95,225250.917631732,1,0.021095402389274112,0.0,94,1,"Affluent, Low Risk Borrowers",0,,,
46,240867,3,36,6.5,798983.0588772,5,0.09214201198171605,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
32,99416,0,48,15.6,572145.906555154,2,0.11989730023336283,1.1013840706885643,162,3,"Secured, Moderate Risk Borrowers",0,,,
43,159832,3,72,9.13,168733.801500595,3,0.014662458080985036,1.4954741523468145,372,3,"Secured, Moderate Risk Borrowers",0,,,
57,211553,2,48,10.3,179341.360070242,1,0.017661200739294645,0.0,29,1,"Affluent, Low Risk Borrowers",0,,,
36,24715,0,60,10.99,1516591.52636183,2,1.0227202103985433,0.7992320043010631,588,2,"High Income, High Default Risk Borrowers",1,,,
38,226968,3,60,11.01,52577.2793016931,7,0.0038608526312079233,0.0,13,1,"Affluent, Low Risk Borrowers",0,,,
42,234861,1,48,7.12,483868.832377562,1,0.04292155785762643,1.2457176662047889,0,3,"Secured, Moderate Risk Borrowers",0,,,
44,136750,0,36,8.8,638903.237117243,9,0.12977923217550275,0.755639093795361,0,3,"Secured, Moderate Risk Borrowers",0,,,
62,231222,3,36,5.22,113231.052503589,2,0.013602987604985685,0.0,69,1,"Affluent, Low Risk Borrowers",0,,,
59,217724,1,36,17.89,446444.44867214,2,0.056958488728849364,0.910709245391666,0,3,"Secured, Moderate Risk Borrowers",0,,,
43,127356,3,72,7.54,1290896.438374,5,0.1407795470963284,1.045490340494838,440,2,"High Income, High Default Risk Borrowers",1,,,
40,20782,3,60,8.75,183878.089154986,0,0.14746559522663844,1.2963006634151295,0,3,"Secured, Moderate Risk Borrowers",0,,,
62,180575,1,60,13.48,195746.076364911,1,0.01806689741104804,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
54,68551,1,12,13.55,117965.257074867,10,0.14340330556811717,1.3646523546027454,426,3,"Secured, Moderate Risk Borrowers",0,,,
45,63368,1,12,10.46,938200.924698626,3,1.2337995518242646,1.3529263838545775,304,0,"Low Income, High EMI Burden Borrowers",1,,,
34,166175,3,72,6.66,1372523.24560504,3,0.11471533022416128,0.0,528,2,"High Income, High Default Risk Borrowers",1,,,
36,139982,1,36,5.32,1744823.30549206,10,0.34623958794702175,0.503837145507801,219,0,"Low Income, High EMI Burden Borrowers",1,,,
38,92231,2,60,9.05,613551.290523924,1,0.11087215795123115,1.4677428248337152,76,3,"Secured, Moderate Risk Borrowers",0,,,
61,54310,2,12,7.74,214012.400222982,10,0.32838096114895965,0.5143812359841529,1034,2,"High Income, High Default Risk Borrowers",1,,,
52,181703,3,48,9.12,1794126.9642652,2,0.20570739063196536,1.3443148641523839,144,2,"High Income, High Default Risk Borrowers",1,,,
37,150832,0,48,15.15,174161.446165372,3,0.024055638060888937,0.5207580321239652,0,3,"Secured, Moderate Risk Borrowers",0,,,
27,103204,2,60,6.72,204909.547031408,1,0.03309135304833146,1.13326320160941,70,3,"Secured, Moderate Risk Borrowers",0,,,
52,19895,2,72,16.74,29410.0955232787,1,0.02053128926866047,0.0,172,1,"Affluent, Low Risk Borrowers",0,,,
27,108747,2,48,5.85,1114373.42242559,3,0.21348736057086634,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
22,80450,0,60,6.79,1533515.24630053,0,0.3176953387197017,1.1192043172921542,84,3,"Secured, Moderate Risk Borrowers",0,,,
32,98362,0,72,10.07,413205.926220445,8,0.058345397612899294,1.0834215190184386,123,3,"Secured, Moderate Risk Borrowers",0,,,
58,198321,2,12,8.37,85477.8814531827,0,0.035917325951361684,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
22,233008,1,24,5.45,814282.582924867,8,0.14561062281123396,0.0,632,2,"High Income, High Default Risk Borrowers",1,,,
44,245662,2,72,8.05,693903.411643121,3,0.039230935187371266,0.0,141,1,"Affluent, Low Risk Borrowers",0,,,
53,247365,1,24,8.41,1700987.91252841,1,0.2865178986517899,1.4937839753781745,537,2,"High Income, High Default Risk Borrowers",1,,,
64,247549,3,48,17.18,83683.3614823579,1,0.0070426461023878105,0.0,123,1,"Affluent, Low Risk Borrowers",0,,,
45,238536,3,36,17.21,515038.186479534,7,0.05997677499413087,1.3950566039998344,12,3,"Secured, Moderate Risk Borrowers",0,,,
26,157628,2,60,5.1,247997.900946449,3,0.026221864135813434,0.6186606144745392,183,3,"Secured, Moderate Risk Borrowers",0,,,
36,140703,0,60,9.21,488977.037419465,7,0.0579207266369587,0.0,232,1,"Affluent, Low Risk Borrowers",0,,,
59,229432,2,60,8.74,170025.314242514,10,0.012351197740506992,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
41,46401,2,24,8.74,1259501.3534966,3,1.1309932975582424,1.424072988845681,9,0,"Low Income, High EMI Burden Borrowers",1,,,
52,129793,2,36,10.75,351731.78923367,10,0.07527624756342792,1.154725348498439,128,3,"Secured, Moderate Risk Borrowers",0,,,
48,136863,1,36,6.28,1222984.86108699,8,0.24821756062631978,0.0,1384,2,"High Income, High Default Risk Borrowers",1,,,
55,229266,1,24,7.46,82673.8084100094,3,0.015025080038034423,1.1607985296909111,166,3,"Secured, Moderate Risk Borrowers",0,,,
53,140926,0,24,6.76,156586.544886839,6,0.04629692178874019,0.0,208,1,"Affluent, Low Risk Borrowers",0,,,
49,60893,0,12,13.47,665204.153912951,2,0.9103456883385611,1.1296283449385902,0,0,"Low Income, High EMI Burden Borrowers",1,,,
46,117747,0,36,15.2,1033088.81542798,5,0.2437166976653333,0.0,384,1,"Affluent, Low Risk Borrowers",0,,,
63,51035,2,48,9.99,641044.919848418,2,0.2616851180562359,0.9459555450921022,255,3,"Secured, Moderate Risk Borrowers",0,,,
48,98310,0,24,8.55,1342401.14322909,1,0.5689490387549587,0.776869969492011,0,0,"Low Income, High EMI Burden Borrowers",1,,,
45,207035,2,36,11.28,536251.597810837,2,0.0719486077233318,0.5809537361156905,68,3,"Secured, Moderate Risk Borrowers",0,,,
44,249746,3,60,7.25,1480156.1607327,3,0.09877743787688291,1.3761924782695536,610,2,"High Income, High Default Risk Borrowers",1,,,
64,240049,0,72,11.04,1470464.12617894,2,0.08507892138688351,0.0,132,1,"Affluent, Low Risk Borrowers",0,,,
64,86635,2,48,15.33,670752.524033829,1,0.16129751255266347,0.0,42,1,"Affluent, Low Risk Borrowers",0,,,
39,27289,3,36,9.43,302326.520282761,3,0.30774158085675546,0.9014976105648763,80,3,"Secured, Moderate Risk Borrowers",0,,,
23,247041,3,48,15.48,189941.880379916,3,0.016018069875040983,1.390236621795771,456,3,"Secured, Moderate Risk Borrowers",0,,,
56,175443,1,12,13.65,47673.1690243627,2,0.02264416363149285,0.0,15,1,"Affluent, Low Risk Borrowers",0,,,
21,83785,2,60,5.59,131426.545616073,0,0.026143581786716,0.0,84,1,"Affluent, Low Risk Borrowers",0,,,
62,31014,0,24,6.44,113511.704192253,3,0.152500483652544,1.1577653832726,144,0,"Low Income, High EMI Burden Borrowers",1,,,
53,45682,0,60,12.21,186670.796865802,1,0.06810516177050041,0.0,298,1,"Affluent, Low Risk Borrowers",0,,,
28,146691,1,24,16.87,270256.36345548,4,0.07676462768677016,1.4308240749901178,348,3,"Secured, Moderate Risk Borrowers",0,,,
42,72993,0,48,6.37,1932395.92026718,1,0.5515357637033688,1.0260825184174025,90,0,"Low Income, High EMI Burden Borrowers",1,,,
36,191048,2,48,15.46,1498294.29012237,2,0.16338543193333613,1.2931285379630575,60,3,"Secured, Moderate Risk Borrowers",0,,,
60,125350,3,60,9.97,420501.279606358,10,0.055910251296370166,1.1059261954142476,423,2,"High Income, High Default Risk Borrowers",1,,,
60,158660,1,48,10.44,62675.682610002,2,0.008229799571410564,0.0,297,1,"Affluent, Low Risk Borrowers",0,,,
39,125641,1,48,14.46,102018.622062869,0,0.016916372840076088,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
27,71503,1,24,12.59,422760.71191119,3,0.2463537194243598,0.5730035928996269,358,3,"Secured, Moderate Risk Borrowers",0,,,
63,249565,1,72,6.21,773594.03191175,10,0.04305235109089817,1.0439731112849706,0,1,"Affluent, Low Risk Borrowers",0,,,
58,175806,2,24,8.44,665582.83482175,2,0.15774558319966325,0.0,110,1,"Affluent, Low Risk Borrowers",0,,,
45,211037,1,36,9.32,237664.246671769,6,0.031282571302662564,0.0,111,1,"Affluent, Low Risk Borrowers",0,,,
49,142556,0,60,7.23,338323.595514648,2,0.0395544908667471,0.0,32,1,"Affluent, Low Risk Borrowers",0,,,
46,210684,1,60,10.26,694748.472052788,0,0.05495975014713979,0.0,378,1,"Affluent, Low Risk Borrowers",0,,,
35,116376,3,60,6.79,382228.026565705,6,0.05474041039389565,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
47,142959,2,48,7.51,629248.779837633,2,0.0917000678516218,0.0,163,1,"Affluent, Low Risk Borrowers",0,,,
60,188757,0,60,12.19,650931.525398352,6,0.05747527244022738,0.0,89,1,"Affluent, Low Risk Borrowers",0,,,
64,153299,1,60,7.81,155416.091666183,0,0.01689684864219597,0.0,174,1,"Affluent, Low Risk Borrowers",0,,,
31,224684,2,24,10.91,58940.2413554438,0,0.010930195296505315,1.3784158630449588,0,3,"Secured, Moderate Risk Borrowers",0,,,
34,196180,0,36,5.07,42612.4682061103,5,0.00603364257314711,1.2463628843132415,258,3,"Secured, Moderate Risk Borrowers",0,,,
44,70754,3,12,10.65,486651.66014719504,3,0.5731733894903468,0.0,0,0,"Low Income, High EMI Burden Borrowers",1,,,
27,213350,1,24,9.44,98091.7464647499,1,0.01915706585423014,0.5460630636819772,54,3,"Secured, Moderate Risk Borrowers",0,,,
39,106878,0,72,13.9,1512873.94477221,8,0.19659930013660434,1.1242407369975198,174,3,"Secured, Moderate Risk Borrowers",0,,,
59,18712,2,48,14.01,802700.777059189,0,0.893700833689611,0.0,22,0,"Low Income, High EMI Burden Borrowers",1,,,
56,237724,2,60,15.89,1445925.51720602,1,0.1013728525516986,0.0,60,1,"Affluent, Low Risk Borrowers",0,,,
32,118896,0,36,7.82,712074.300296185,0,0.1663625353249899,1.3078656456839814,138,3,"Secured, Moderate Risk Borrowers",0,,,
30,243590,3,60,11.03,317374.046898762,9,0.0217150539841537,0.0,204,1,"Affluent, Low Risk Borrowers",0,,,
44,50643,2,60,11.99,473802.632616362,1,0.15592895365598405,0.0,378,1,"Affluent, Low Risk Borrowers",0,,,
21,111652,1,48,7.91,248037.739684336,4,0.04628175043886361,1.491889195947493,302,3,"Secured, Moderate Risk Borrowers",0,,,
24,212576,2,72,8.55,1241198.1825692,4,0.08109504365497516,0.0,128,1,"Affluent, Low Risk Borrowers",0,,,
40,131891,0,48,14.23,507429.133120761,3,0.08015285349265681,0.6373617459686743,166,3,"Secured, Moderate Risk Borrowers",0,,,
52,106658,3,36,12.09,1592190.57855563,0,0.4146666916686981,1.0865117810374487,0,0,"Low Income, High EMI Burden Borrowers",1,,,
27,102163,1,12,8.04,350897.972365189,1,0.28622397541184186,1.002465649762762,1332,2,"High Income, High Default Risk Borrowers",1,,,
36,238725,2,60,16.53,521981.030818769,1,0.036442266205885435,0.0,90,1,"Affluent, Low Risk Borrowers",0,,,
58,91367,3,36,7.5,96882.9505292638,4,0.029454726542405902,0.0,119,1,"Affluent, Low Risk Borrowers",0,,,
53,142834,1,60,16.32,1726793.65148607,2,0.20149187168321267,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
25,130700,3,72,6.66,1279533.99206972,3,0.13597023718439175,0.6903369750950464,450,2,"High Income, High Default Risk Borrowers",1,,,
64,129044,3,72,12.82,183162.48037496,2,0.019713586063668208,0.6218795017813833,0,1,"Affluent, Low Risk Borrowers",0,,,
55,18654,1,12,5.47,246183.099963295,0,1.0997780636860726,1.469615938904336,0,0,"Low Income, High EMI Burden Borrowers",1,,,
41,63231,2,48,12.87,841730.253399875,0,0.2773331119229492,0.0,126,1,"Affluent, Low Risk Borrowers",0,,,
22,154999,3,60,12.23,477614.42216441,0,0.051356718430441484,1.2374099443119486,0,3,"Secured, Moderate Risk Borrowers",0,,,
26,69624,1,36,5.79,217827.04586785,8,0.08690609559921866,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
40,159745,1,48,12.36,967132.038489885,1,0.12612964412031677,0.0,136,1,"Affluent, Low Risk Borrowers",0,,,
29,24686,2,48,10.35,53266.8475361223,9,0.04495381997893543,0.0,417,1,"Affluent, Low Risk Borrowers",0,,,
44,38711,2,12,6.83,851148.687346344,1,1.8322714473922141,1.4329566255282276,189,0,"Low Income, High EMI Burden Borrowers",1,,,
25,177082,3,72,6.7,198910.451335939,1,0.015600964524909364,1.3298212647172842,138,3,"Secured, Moderate Risk Borrowers",0,,,
54,90388,0,12,13.14,1114690.57598277,5,1.0276904013807142,0.0,26,0,"Low Income, High EMI Burden Borrowers",1,,,
56,206648,1,24,7.37,796901.937049161,0,0.16068023886028415,0.0,162,1,"Affluent, Low Risk Borrowers",0,,,
59,188895,0,12,11.81,790915.27302561,3,0.3489219407607401,0.0,176,0,"Low Income, High EMI Burden Borrowers",1,,,
52,233200,0,36,12.49,801528.037333613,2,0.09547457118353345,0.0,117,1,"Affluent, Low Risk Borrowers",0,,,
62,234772,0,72,11.59,71912.1305974876,3,0.004254255192271651,0.8782245152433432,300,1,"Affluent, Low Risk Borrowers",0,,,
55,224203,3,48,10.34,163346.393988718,2,0.01517843204595835,1.249379016724155,27,3,"Secured, Moderate Risk Borrowers",0,,,
32,91329,1,60,6.68,1603794.53503926,3,0.29267713431659165,1.0757858627744137,320,2,"High Income, High Default Risk Borrowers",1,,,
45,135030,2,72,13.22,162855.75278523,0,0.016751018292231357,0.7421746503474711,119,3,"Secured, Moderate Risk Borrowers",0,,,
21,134968,2,48,15.88,375865.470341574,5,0.058017678264477505,1.3293851501423757,441,3,"Secured, Moderate Risk Borrowers",0,,,
55,41160,1,36,12.6,703487.085287859,10,0.47476457725947524,0.7418381954153531,125,0,"Low Income, High EMI Burden Borrowers",1,,,
44,36636,1,36,10.77,243246.642491316,2,0.18443197947374168,1.2608859776715096,104,3,"Secured, Moderate Risk Borrowers",0,,,
52,162235,0,60,16.63,1389529.7509124,3,0.1427486670570469,0.8121918837863885,480,2,"High Income, High Default Risk Borrowers",1,,,
21,43625,0,72,8.2,437200.709350405,1,0.13919151862464182,0.0,77,1,"Affluent, Low Risk Borrowers",0,,,
61,40169,1,12,9.14,188158.082059647,6,0.39034678483407603,0.0,116,0,"Low Income, High EMI Burden Borrowers",1,,,
50,97189,2,60,13.49,377449.772492144,1,0.06472779841340069,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
61,177396,0,48,8.62,48916.5464064304,10,0.0057447180319736635,0.0,249,1,"Affluent, Low Risk Borrowers",0,,,
51,175928,3,60,8.84,217488.341693487,3,0.020603940248283388,0.7813929821721637,10,3,"Secured, Moderate Risk Borrowers",0,,,
27,25225,2,48,5.98,291631.564746583,3,0.24085867195242813,0.0,192,1,"Affluent, Low Risk Borrowers",0,,,
31,129014,0,60,15.79,466931.56525248,1,0.060320507851861035,1.4508186599164314,0,3,"Secured, Moderate Risk Borrowers",0,,,
47,203856,3,24,11.96,634134.292543457,6,0.12961237344007534,0.0,465,2,"High Income, High Default Risk Borrowers",1,,,
48,185963,2,36,15.4,887038.614711286,3,0.13249926060560432,1.078965320295805,231,3,"Secured, Moderate Risk Borrowers",0,,,
62,58753,0,36,6.08,259855.638856481,1,0.12285687539359692,0.6080289574915795,18,1,"Affluent, Low Risk Borrowers",0,,,
55,141888,0,72,17.81,1475467.28322537,2,0.14442799954894,0.9131073977271452,234,1,"Affluent, Low Risk Borrowers",0,0.0,0.29505952380952377,"[LOW RISK] Send automated payment reminders, schedule regular financial health reviews, and maintain active borrower engagement for early warnings."
28,79178,3,72,6.39,381265.677229545,3,0.06687918361160929,0.0,14,1,"Affluent, Low Risk Borrowers",0,0.0,0.0005330188679245284,"[LOW RISK] Send automated payment reminders, schedule regular financial health reviews, and maintain active borrower engagement for early warnings."
